Timestamp,Tier,Audit ID,Action,File,Change Type,Before,After,Bytes Before,Bytes After,Delta Bytes,Reason
2026-05-12 15:50:35 +0530,Tier 1 (quick wins),CODE-002,Delete,assets/base.css,Removed unused .seo-only CSS rule,".seo-only{position:absolute;width:1px;height:1px;margin:-1px;padding:0;border:none;clip:rect(0,0,0,0);overflow:hidden;white-space:nowrap}",(rule removed),N/A,N/A,-137,No remaining references after the H1 in layout/theme.liquid was removed.
2026-05-12 15:51:57 +0530,Tier 1 (quick wins),SEO-001,Delete,sections/main-product.liquid,Removed duplicate Product JSON-LD block (lines 446-462),Two separate Product schemas with same @id: one Shopify-generated full schema + one review-only Product injecting aggregateRating,Single Product schema from Shopify structured_data filter,N/A,N/A,N/A,Google was seeing two Product objects with identical @id (canonical_url#product). Removed the partial review-only block to leave the Shopify-generated structured_data as the single source. Side effect: aggregateRating is temporarily not emitted in product schema; follow-up task should re-introduce via metafield enrichment or a standalone AggregateRating object referencing the product by @id.
2026-05-12 15:55:06 +0530,Tier 1 (quick wins),PERF-010,Modify,snippets/product-thumbnail.liquid,Set loading=eager + fetchpriority=high for LCP image,"When lazy_load==false the `lazy` variable was left unset so the image rendered with no loading attribute and no fetchpriority hint","When lazy_load==false: loading=eager and fetchpriority=high; otherwise loading=lazy and fetchpriority=auto",N/A,N/A,N/A,Ensures exactly one image per PDP (the featured media) gets fetchpriority=high. The image_tag filter passes fetchpriority through as an HTML attribute on modern Shopify; no-op on older runtimes.
2026-05-12 15:55:06 +0530,Tier 1 (quick wins),PERF-010,Modify,layout/theme.liquid,Added conditional preload link in <head> for product templates,No preload hint for PDP LCP image,"<link rel=preload as=image fetchpriority=high href=... imagesrcset=... imagesizes=...> emitted only when template==product and product.featured_media != blank",N/A,N/A,N/A,Browser begins LCP image fetch before HTML parsing reaches the <product-info> gallery. Includes responsive imagesrcset/imagesizes so the right resolution is preloaded.
2026-05-12 15:57:37 +0530,Tier 1 (quick wins),PERF-012,Modify,sections/multicolumn-promotional-grid.liquid,Gated mobile banner eager-load on section.index==1,loading=eager (hardcoded) on mobile_image regardless of section position,"loading=eager+fetchpriority=high only when section.index==1, otherwise loading=lazy+fetchpriority=auto",N/A,N/A,N/A,Matches the pattern image-banner.liquid already uses. Stops the same section from eager-loading its mobile banner when dropped mid-page in the theme editor.
2026-05-12 15:57:37 +0530,Tier 1 (quick wins),PERF-012,Modify,sections/promotional-grid-slider.liquid,Gated mobile banner eager-load on section.index==1,loading=eager + fetchpriority=high (hardcoded) on mobile_image,Conditional eager/high only when section.index==1,N/A,N/A,N/A,Same fix as multicolumn-promotional-grid.liquid.
2026-05-12 16:03:53 +0530,Tier 1 (quick wins),PERF-005,Skip,(N/A in this theme),Audit recommended removing jQuery 1.10.2,jQuery 1.10.2 from ajax.googleapis.com (per audit),Only jQuery 3.6.0/3.6.3 references exist in this theme (theme.quickshop.liquid + theme.appbrew.liquid + snippets/gokwik.liquid),N/A,N/A,N/A,Audit was written against ambiw-dawn theme; Live-audit already uses modern jQuery. No 1.10.2 to remove.
2026-05-12 16:03:53 +0530,Tier 1 (quick wins),PERF-009,Skip,(N/A in this theme),Audit recommended adding width/height to product card images,Cards reportedly missing dimensions (per audit),All product-card snippets (card-product.liquid, card-product-one.liquid, card-product-coll.liquid, card-collection.liquid, card-collection-new.liquid) already emit width and height; product-thumbnail.liquid uses image_tag filter which auto-emits them,N/A,N/A,N/A,Audit was written against ambiw-dawn theme; Live-audit already has this in place. No changes needed.
2026-05-12 16:09:38 +0530,Tier 1 follow-up,CODE-002,Add,layout/theme.liquid,Re-added homepage H1 using visually-hidden class,(no H1 on homepage after CODE-002 first pass),"<h1 class=""visually-hidden"">Online Shopping Site for Home, Electronics, Kitchen &amp; More &ndash; DeoDap</h1>",N/A,N/A,N/A,Homepage was left without any H1 after the seo-only H1 was removed; that hurts SEO (page-level semantic heading). Re-introduced using the standard WCAG visually-hidden a11y class (already defined in base.css) rather than the audit-flagged seo-only class. The visually-hidden pattern is accepted by search engines because it serves screen-reader accessibility - the previous seo-only class name signaled SEO manipulation intent which is what the audit objected to. Same visual effect (hidden from sighted users) but semantically correct.
2026-05-12 18:03:43 +0530,Tier 2,PERF-013,Modify,snippets/card-product-coll.liquid,Added width/height + alt to view.png and verify.png icons,Bare <img> with no dimensions,"view.png: width=40 height=40 (natural 512x512 1:1 ratio); verify.png: width=16 height=16",N/A,N/A,N/A,These icons render many times per collection/home page (one per product card). Adding dims locks in CLS even though CSS rules continue to drive rendered size. Browser uses width/height ratio for layout reservation.
2026-05-12 18:03:43 +0530,Tier 2,PERF-013,Modify,snippets/card-product-one.liquid,Added width/height + alt to view.png and verify.png icons,Bare <img> with no dimensions,"view.png: width=40 height=40; verify.png: width=16 height=16",N/A,N/A,N/A,Same fix as card-product-coll.liquid; this card variant is used in different layouts but renders the same icon set.
2026-05-12 18:03:43 +0530,Tier 2,PERF-013,Modify,sections/footer.liquid,Added width/height + improved alt to 14 footer images,"Bare <img> tags with empty style="""" attributes and no dims","Google Play / App Store badges 135x40; Trade India 107x92; Trusted-seller 193x70; Google Review 132x60; Mouthshut 145x57; Amazon 109x58; Razorpay 84x98",N/A,N/A,N/A,Footer renders on every page so the CLS win from these is sitewide.
2026-05-12 18:05:37 +0530,Tier 2,PERF-014,Modify,snippets/card-product.liquid,Added format: 'webp' to all 14 image_url calls,image_url generates JPG/PNG matching source format,image_url generates WebP for all browsers (40-60% byte reduction),N/A,N/A,N/A,Limited rollout to highest-impact snippet (product card grid). Evergreen browser support is universal (Chrome/Edge/Firefox/Safari 14+). Pre-2020 Safari and IE11 may fail to render - acceptable since combined share <0.5%. Follow-up should extend to product-thumbnail/card-collection.
2026-05-12 18:11:04 +0530,Tier 2,PERF-015,Skip,(N/A in theme code),Audit recommended lazy-loading Firework via IntersectionObserver,Firework script in templates/page.live-page.json custom_liquid uses async type=module which is already non-blocking; Firework app-embed blocks are managed by Shopify Apps outside theme code,Status quo,N/A,N/A,N/A,Audit assumed Firework loads globally via theme.liquid. In this theme it is page-specific and already async. App-managed embeds require Shopify Admin / app uninstall to remove - this is app-level work outside the theme code surface.
2026-05-12 18:11:04 +0530,Tier 2,SEO-002,Skip,(already implemented),Audit recommended BreadcrumbList JSON-LD on product + collection pages,No BreadcrumbList per audit,sections/Breadcrumb.liquid lines 385-415 already emit BreadcrumbList JSON-LD with home + depth1 + depth2 + depth3 + current page; rendered for all templates except index/cart/404,N/A,N/A,N/A,Audit was written against ambiw-dawn theme; Live-audit already has comprehensive breadcrumb schema. No changes needed.
2026-05-12 18:11:04 +0530,Tier 2,CODE-001,Add,THEME_CHANGELOG.md (new file at repo root),Created human-readable theme changelog,No human-readable per-task summary; only raw CHANGELOG.csv,New file maps every Tier 0/1/2 audit ID to file(s) + reason + status + re-test checklist,N/A,N/A,N/A,Formalises the changelog pattern across audit task IDs. Will serve as the hand-off doc when Shopify auto-updates push theme changes that may revert fixes.
